0,1,2,3,4,5,6,7,8,9,10
sausage,root vegetables,,,,,,,,,
specialty fat,liquor (appetizer),,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
sausage,butter milk,beverages,,,,,,,,
other vegetables,domestic eggs,bottled beer,,,,,,,,
frozen potato products,specialty cheese,,,,,,,,,
frankfurter,red/blush wine,,,,,,,,,
white bread,yogurt,,,,,,,,,
salty snack,shopping bags,,,,,,,,,
chicken,soda,,,,,,,,,
beef,soda,,,,,,,,,
nuts/prunes,coffee,,,,,,,,,
whipped/sour cream,soft cheese,,,,,,,,,
coffee,sugar,,,,,,,,,
whipped/sour cream,roll products ,,,,,,,,,
onions,grapes,yogurt,tropical fruit,whole milk,salty snack,root vegetables,frozen dessert,whipped/sour cream,,
whole milk,berries,,,,,,,,,
meat,pip fruit,yogurt,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
canned beer,white bread,,,,,,,,,
misc. beverages,dishes,,,,,,,,,
beef,whole milk,cream cheese ,butter,,,,,,,
canned beer,rolls/buns,,,,,,,,,
frankfurter,frankfurter,ham,beef,baby cosmetics,other vegetables,domestic eggs,artif. sweetener,margarine,,
tropical fruit,flour,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
canned beer,berries,,,,,,,,,
ham,onions,baking powder,,,,,,,,
coffee,soda,,,,,,,,,
beef,chicken,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
frozen fish,pastry,,,,,,,,,
pip fruit,dessert,hard cheese,,,,,,,,
flower soil/fertilizer,rolls/buns,,,,,,,,,
soda,ham,,,,,,,,,
specialty chocolate,other vegetables,,,,,,,,,
bottled water,soda,soda,,,,,,,,
domestic eggs,tropical fruit,,,,,,,,,
hamburger meat,red/blush wine,,,,,,,,,
coffee,hamburger meat,,,,,,,,,
soda,chocolate,,,,,,,,,
rolls/buns,soda,curd,dessert,,,,,,,
coffee,berries,pickled vegetables,,,,,,,,
rum,onions,,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
hygiene articles,vinegar,,,,,,,,,
vinegar,rolls/buns,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
waffles,napkins,,,,,,,,,
coffee,shopping bags,,,,,,,,,
hamburger meat,sausage,frankfurter,soda,root vegetables,coffee,chewing gum,pastry,,,
whipped/sour cream,cream cheese ,,,,,,,,,
meat,bottled water,soda,,,,,,,,
white wine,rolls/buns,,,,,,,,,
chicken,domestic eggs,,,,,,,,,
pork,pastry,,,,,,,,,
curd cheese,canned beer,,,,,,,,,
sliced cheese,napkins,,,,,,,,,
frozen vegetables,yogurt,bottled beer,,,,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
butter,frozen vegetables,,,,,,,,,
white bread,soda,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
cream cheese ,other vegetables,,,,,,,,,
root vegetables,frozen potato products,,,,,,,,,
hamburger meat,root vegetables,bottled beer,,,,,,,,
newspapers,white wine,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
beef,butter,,,,,,,,,
root vegetables,pastry,,,,,,,,,
salty snack,frozen meals,,,,,,,,,
canned beer,brown bread,,,,,,,,,
whole milk,bottled water,,,,,,,,,
pork,fruit/vegetable juice,,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
sausage,shopping bags,light bulbs,,,,,,,,
roll products ,canned vegetables,,,,,,,,,
liquor (appetizer),hard cheese,yogurt,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
packaged fruit/vegetables,specialty cheese,margarine,margarine,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
tropical fruit,cat food,pot plants,curd,soft cheese,soft cheese,,,,,
chocolate,rolls/buns,,,,,,,,,
ham,chicken,canned beer,other vegetables,napkins,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
whole milk,sauces,,,,,,,,,
soda,soda,domestic eggs,,,,,,,,
pastry,shopping bags,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
citrus fruit,rolls/buns,long life bakery product,,,,,,,,
napkins,white bread,,,,,,,,,
processed cheese,whole milk,soda,domestic eggs,,,,,,,
dessert,napkins,,,,,,,,,
pip fruit,newspapers,,,,,,,,,
onions,cat food,white wine,,,,,,,,
tropical fruit,soda,,,,,,,,,
whole milk,napkins,napkins,,,,,,,,
coffee,packaged fruit/vegetables,pickled vegetables,,,,,,,,
pork,specialty bar,long life bakery product,,,,,,,,
butter milk,dessert,processed cheese,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
nuts/prunes,soda,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
hamburger meat,salty snack,shopping bags,,,,,,,,
light bulbs,yogurt,,,,,,,,,
root vegetables,pastry,candles,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
whole milk,skin care,,,,,,,,,
whole milk,butter,,,,,,,,,
instant coffee,domestic eggs,,,,,,,,,
chicken,whole milk,,,,,,,,,
rolls/buns,canned fish,chocolate,,,,,,,,
other vegetables,beef,soda,curd,butter,,,,,,
onions,ice cream,soda,sliced cheese,,,,,,,
pork,citrus fruit,UHT-milk,dessert,,,,,,,
ham,rolls/buns,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
soda,newspapers,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
processed cheese,fruit/vegetable juice,frozen meals,cat food,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
male cosmetics,curd,,,,,,,,,
curd,cling film/bags,candy,rolls/buns,,,,,,,
sausage,root vegetables,,,,,,,,,
beef,specialty bar,rolls/buns,,,,,,,,
yogurt,butter milk,,,,,,,,,
yogurt,newspapers,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
pastry,napkins,,,,,,,,,
tropical fruit,salty snack,,,,,,,,,
whole milk,sausage,yogurt,whole milk,butter,,,,,,
chewing gum,hamburger meat,candy,coffee,,,,,,,
herbs,grapes,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
jam,cake bar,,,,,,,,,
curd,whole milk,,,,,,,,,
bottled water,ice cream,,,,,,,,,
yogurt,pastry,bottled water,,,,,,,,
bottled water,hard cheese,,,,,,,,,
other vegetables,tropical fruit,onions,cream cheese ,root vegetables,root vegetables,yogurt,,,,
UHT-milk,beverages,,,,,,,,,
dishes,onions,canned beer,,,,,,,,
meat,tropical fruit,,,,,,,,,
frozen fruits,citrus fruit,,,,,,,,,
UHT-milk,cooking chocolate,,,,,,,,,
frankfurter,long life bakery product,,,,,,,,,
rolls/buns,detergent,,,,,,,,,
specialty bar,condensed milk,,,,,,,,,
soda,UHT-milk,dessert,napkins,,,,,,,
citrus fruit,pastry,rolls/buns,,,,,,,,
yogurt,soda,frozen fish,,,,,,,,
curd,other vegetables,,,,,,,,,
beverages,hamburger meat,other vegetables,canned beer,,,,,,,
frozen meals,mustard,,,,,,,,,
frankfurter,canned beer,,,,,,,,,
semi-finished bread,pip fruit,,,,,,,,,
other vegetables,yogurt,whipped/sour cream,napkins,,,,,,,
whole milk,brown bread,,,,,,,,,
frozen vegetables,whole milk,,,,,,,,,
bottled beer,bottled water,rolls/buns,root vegetables,,,,,,,
curd,butter milk,,,,,,,,,
other vegetables,cooking chocolate,,,,,,,,,
root vegetables,soda,,,,,,,,,
root vegetables,ice cream,,,,,,,,,
hard cheese,yogurt,,,,,,,,,
frozen meals,abrasive cleaner,,,,,,,,,
whole milk,newspapers,,,,,,,,,
onions,brown bread,canned vegetables,canned beer,,,,,,,
waffles,sparkling wine,,,,,,,,,
onions,root vegetables,bottled water,,,,,,,,
baking powder,canned beer,specialty chocolate,,,,,,,,
pastry,roll products ,,,,,,,,,
beef,canned beer,pastry,whole milk,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
canned beer,chicken,other vegetables,,,,,,,,
soda,artif. sweetener,cocoa drinks,bottled water,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
berries,sugar,,,,,,,,,
ice cream,whipped/sour cream,,,,,,,,,
pickled vegetables,whole milk,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
sausage,rolls/buns,soda,,,,,,,,
butter milk,newspapers,,,,,,,,,
sausage,bottled beer,,,,,,,,,
butter,domestic eggs,,,,,,,,,
ham,whipped/sour cream,,,,,,,,,
other vegetables,dessert,,,,,,,,,
beverages,canned vegetables,,,,,,,,,
meat,other vegetables,,,,,,,,,
long life bakery product,candy,,,,,,,,,
brown bread,coffee,,,,,,,,,
yogurt,whole milk,abrasive cleaner,,,,,,,,
chocolate,herbs,,,,,,,,,
root vegetables,butter milk,shopping bags,cream cheese ,,,,,,,
root vegetables,berries,,,,,,,,,
dessert,frozen vegetables,,,,,,,,,
pip fruit,sausage,red/blush wine,coffee,salt,pastry,,,,,
roll products ,whole milk,tropical fruit,rolls/buns,rolls/buns,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
other vegetables,rolls/buns,soda,,,,,,,,
dessert,butter milk,,,,,,,,,
pork,pip fruit,,,,,,,,,
cream cheese ,meat,rolls/buns,yogurt,frozen meals,whipped/sour cream,,,,,
canned beer,yogurt,curd cheese,pastry,,,,,,,
pip fruit,butter,,,,,,,,,
whipped/sour cream,curd,shopping bags,,,,,,,,
pastry,sauces,,,,,,,,,
meat,whole milk,,,,,,,,,
sausage,canned beer,rum,spices,,,,,,,
frozen potato products,chewing gum,,,,,,,,,
pastry,sugar,,,,,,,,,
pork,frozen meals,canned beer,,,,,,,,
soft cheese,rolls/buns,,,,,,,,,
napkins,whole milk,,,,,,,,,
chocolate,beef,,,,,,,,,
root vegetables,soda,waffles,,,,,,,,
other vegetables,pip fruit,fruit/vegetable juice,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
UHT-milk,whole milk,herbs,,,,,,,,
whole milk,onions,,,,,,,,,
newspapers,whipped/sour cream,,,,,,,,,
canned beer,soda,,,,,,,,,
ham,whole milk,sliced cheese,baking powder,,,,,,,
oil,misc. beverages,,,,,,,,,
frankfurter,curd,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
citrus fruit,long life bakery product,,,,,,,,,
whole milk,female sanitary products,,,,,,,,,
frankfurter,salty snack,,,,,,,,,
beef,fruit/vegetable juice,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
beef,newspapers,misc. beverages,,,,,,,,
frozen meals,whole milk,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
oil,bottled beer,,,,,,,,,
root vegetables,waffles,whipped/sour cream,,,,,,,,
bottled beer,tropical fruit,domestic eggs,baking powder,,,,,,,
misc. beverages,shopping bags,yogurt,,,,,,,,
pot plants,rolls/buns,,,,,,,,,
newspapers,whole milk,,,,,,,,,
citrus fruit,red/blush wine,,,,,,,,,
whipped/sour cream,candy,whole milk,,,,,,,,
frankfurter,coffee,,,,,,,,,
chicken,male cosmetics,,,,,,,,,
margarine,dishes,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
UHT-milk,margarine,,,,,,,,,
rolls/buns,soda,other vegetables,vinegar,,,,,,,
chicken,yogurt,UHT-milk,root vegetables,yogurt,hard cheese,semi-finished bread,frozen potato products,,,
citrus fruit,yogurt,,,,,,,,,
bottled water,whole milk,,,,,,,,,
meat,sausage,salty snack,white wine,frozen vegetables,beverages,,,,,
bottled water,yogurt,,,,,,,,,
misc. beverages,margarine,,,,,,,,,
chocolate,white wine,newspapers,,,,,,,,
soft cheese,specialty chocolate,,,,,,,,,
soda,shopping bags,cream cheese ,,,,,,,,
chicken,sugar,,,,,,,,,
tropical fruit,curd cheese,,,,,,,,,
cat food,other vegetables,,,,,,,,,
waffles,curd,,,,,,,,,
ham,whole milk,candy,,,,,,,,
whole milk,soda,,,,,,,,,
meat spreads,yogurt,,,,,,,,,
sausage,UHT-milk,candles,chewing gum,bottled beer,artif. sweetener,butter,,,,
canned beer,flower soil/fertilizer,,,,,,,,,
root vegetables,sausage,cream cheese ,yogurt,detergent,,,,,,
bottled water,processed cheese,packaged fruit/vegetables,yogurt,,,,,,,
frankfurter,long life bakery product,,,,,,,,,
soda,bottled water,hygiene articles,,,,,,,,
liquor,vinegar,shopping bags,long life bakery product,,,,,,,
tropical fruit,grapes,,,,,,,,,
sliced cheese,pip fruit,,,,,,,,,
newspapers,margarine,,,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
beef,tropical fruit,,,,,,,,,
photo/film,soda,,,,,,,,,
beef,salty snack,whole milk,domestic eggs,fruit/vegetable juice,whipped/sour cream,cat food,,,,
sausage,frozen vegetables,,,,,,,,,
sausage,whole milk,,,,,,,,,
meat,pastry,,,,,,,,,
bottled beer,oil,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
other vegetables,meat,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
whole milk,cat food,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
onions,pip fruit,dog food,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
ham,mayonnaise,,,,,,,,,
chicken,napkins,soda,,,,,,,,
pip fruit,soda,,,,,,,,,
waffles,chocolate,,,,,,,,,
root vegetables,yogurt,butter,yogurt,,,,,,,
pip fruit,other vegetables,whole milk,whipped/sour cream,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
soda,tropical fruit,other vegetables,bottled water,,,,,,,
pet care,whole milk,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
root vegetables,canned fish,,,,,,,,,
candy,pastry,napkins,,,,,,,,
tropical fruit,citrus fruit,frankfurter,spices,butter milk,UHT-milk,,,,,
rolls/buns,shopping bags,,,,,,,,,
sausage,butter,yogurt,yogurt,,,,,,,
whole milk,newspapers,,,,,,,,,
tropical fruit,artif. sweetener,,,,,,,,,
brown bread,rolls/buns,citrus fruit,frozen fish,chocolate,,,,,,
beef,yogurt,,,,,,,,,
whipped/sour cream,chicken,,,,,,,,,
other vegetables,frankfurter,whole milk,sausage,misc. beverages,margarine,yogurt,frozen meals,cat food,,
beverages,candles,,,,,,,,,
white bread,soda,,,,,,,,,
yogurt,tropical fruit,mayonnaise,curd,soft cheese,,,,,,
soda,hygiene articles,grapes,pudding powder,butter milk,butter,,,,,
hamburger meat,condensed milk,,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
packaged fruit/vegetables,whole milk,photo/film,oil,,,,,,,
root vegetables,brown bread,domestic eggs,,,,,,,,
root vegetables,female sanitary products,,,,,,,,,
root vegetables,white bread,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
napkins,newspapers,,,,,,,,,
long life bakery product,yogurt,,,,,,,,,
seasonal products,root vegetables,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
finished products,other vegetables,,,,,,,,,
whipped/sour cream,canned fish,,,,,,,,,
whipped/sour cream,canned beer,,,,,,,,,
UHT-milk,margarine,,,,,,,,,
butter milk,pickled vegetables,,,,,,,,,
tropical fruit,other vegetables,sugar,,,,,,,,
other vegetables,bottled water,,,,,,,,,
soda,yogurt,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
whole milk,turkey,pork,dog food,rolls/buns,soda,bottled water,bottled water,,,
margarine,liquor,,,,,,,,,
whole milk,bottled water,chicken,citrus fruit,canned vegetables,,,,,,
bottled water,root vegetables,rolls/buns,whole milk,coffee,,,,,,
other vegetables,other vegetables,,,,,,,,,
chicken,soda,,,,,,,,,
yogurt,salty snack,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
misc. beverages,hard cheese,herbs,sugar,,,,,,,
margarine,rolls/buns,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
sausage,snack products,rolls/buns,,,,,,,,
brandy,soap,chewing gum,,,,,,,,
brown bread,domestic eggs,,,,,,,,,
margarine,fruit/vegetable juice,,,,,,,,,
canned beer,flower (seeds),,,,,,,,,
grapes,bottled beer,,,,,,,,,
citrus fruit,hamburger meat,other vegetables,specialty chocolate,,,,,,,
soda,tropical fruit,domestic eggs,domestic eggs,,,,,,,
oil,sparkling wine,,,,,,,,,
beverages,rolls/buns,,,,,,,,,
semi-finished bread,liquor (appetizer),,,,,,,,,
berries,pip fruit,,,,,,,,,
finished products,other vegetables,,,,,,,,,
other vegetables,curd,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
other vegetables,sugar,,,,,,,,,
frankfurter,newspapers,,,,,,,,,
hygiene articles,coffee,,,,,,,,,
frozen vegetables,pip fruit,root vegetables,cereals,,,,,,,
cereals,sugar,,,,,,,,,
chicken,canned beer,frozen vegetables,whipped/sour cream,,,,,,,
other vegetables,whole milk,yogurt,bottled water,,,,,,,
newspapers,soups,,,,,,,,,
frankfurter,bottled beer,pastry,,,,,,,,
citrus fruit,shopping bags,tropical fruit,frankfurter,brown bread,rubbing alcohol,domestic eggs,whole milk,,,
detergent,misc. beverages,,,,,,,,,
specialty bar,tropical fruit,yogurt,bottled beer,baking powder,,,,,,
other vegetables,white bread,,,,,,,,,
canned vegetables,other vegetables,,,,,,,,,
domestic eggs,whole milk,,,,,,,,,
sausage,chocolate,newspapers,,,,,,,,
whole milk,yogurt,pasta,,,,,,,,
sausage,bottled beer,,,,,,,,,
sliced cheese,chocolate,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
soda,soda,roll products ,,,,,,,,
fish,yogurt,,,,,,,,,
spices,soda,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
pip fruit,nuts/prunes,bottled beer,,,,,,,,
ham,other vegetables,napkins,,,,,,,,
turkey,whole milk,,,,,,,,,
beef,flour,,,,,,,,,
ham,pastry,sugar,,,,,,,,
liver loaf,fruit/vegetable juice,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
ham,UHT-milk,,,,,,,,,
rolls/buns,sausage,tropical fruit,soda,yogurt,onions,flour,specialty chocolate,whipped/sour cream,,
beef,dessert,,,,,,,,,
bathroom cleaner,beverages,,,,,,,,,
chicken,whole milk,,,,,,,,,
frozen meals,fruit/vegetable juice,,,,,,,,,
other vegetables,root vegetables,,,,,,,,,
red/blush wine,bottled beer,yogurt,pip fruit,mustard,,,,,,
hamburger meat,soft cheese,yogurt,margarine,,,,,,,
whole milk,detergent,,,,,,,,,
oil,waffles,,,,,,,,,
hygiene articles,grapes,,,,,,,,,
chewing gum,newspapers,newspapers,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
UHT-milk,berries,shopping bags,,,,,,,,
sausage,flour,,,,,,,,,
whole milk,canned beer,,,,,,,,,
finished products,cream cheese ,,,,,,,,,
tropical fruit,soda,,,,,,,,,
pastry,meat,,,,,,,,,
curd,soft cheese,,,,,,,,,
dessert,yogurt,,,,,,,,,
sausage,detergent,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
nuts/prunes,margarine,,,,,,,,,
berries,pastry,,,,,,,,,
misc. beverages,bottled water,mustard,,,,,,,,
UHT-milk,tropical fruit,,,,,,,,,
cream cheese ,sausage,whole milk,pip fruit,,,,,,,
chicken,pastry,soda,,,,,,,,
newspapers,coffee,soft cheese,,,,,,,,
meat,whole milk,brown bread,shopping bags,waffles,,,,,,
sausage,margarine,margarine,,,,,,,,
rolls/buns,chewing gum,,,,,,,,,
frankfurter,oil,soda,,,,,,,,
butter milk,frozen vegetables,,,,,,,,,
curd,soda,shopping bags,,,,,,,,
butter,yogurt,,,,,,,,,
ham,rolls/buns,,,,,,,,,
whole milk,sausage,spread cheese,hygiene articles,,,,,,,
UHT-milk,shopping bags,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
pastry,bottled beer,,,,,,,,,
frozen vegetables,dishes,soda,domestic eggs,,,,,,,
tropical fruit,sausage,tropical fruit,detergent,butter,newspapers,,,,,
pip fruit,canned beer,pork,white bread,,,,,,,
yogurt,pastry,,,,,,,,,
shopping bags,cake bar,,,,,,,,,
beef,newspapers,bottled beer,,,,,,,,
frankfurter,soda,other vegetables,rolls/buns,rolls/buns,,,,,,
yogurt,soda,,,,,,,,,
canned beer,semi-finished bread,,,,,,,,,
sausage,other vegetables,,,,,,,,,
ham,tropical fruit,popcorn,,,,,,,,
bottled beer,canned vegetables,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
mayonnaise,shopping bags,,,,,,,,,
pork,pork,whole milk,pasta,,,,,,,
canned beer,pip fruit,instant coffee,yogurt,,,,,,,
rolls/buns,soda,,,,,,,,,
frankfurter,red/blush wine,,,,,,,,,
butter,other vegetables,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
other vegetables,salty snack,,,,,,,,,
fruit/vegetable juice,domestic eggs,,,,,,,,,
oil,pickled vegetables,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
finished products,berries,,,,,,,,,
domestic eggs,UHT-milk,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
berries,butter,,,,,,,,,
whole milk,sweet spreads,soda,soda,,,,,,,
soda,other vegetables,,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
pip fruit,nut snack,napkins,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
tropical fruit,pip fruit,herbs,yogurt,bottled water,sweet spreads,,,,,
whole milk,frozen potato products,,,,,,,,,
whole milk,whipped/sour cream,newspapers,,,,,,,,
root vegetables,whipped/sour cream,root vegetables,canned beer,,,,,,,
whole milk,ice cream,,,,,,,,,
tropical fruit,sausage,,,,,,,,,
brandy,whole milk,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
sausage,spread cheese,chocolate,,,,,,,,
dessert,pastry,,,,,,,,,
detergent,misc. beverages,,,,,,,,,
rolls/buns,soda,shopping bags,,,,,,,,
tropical fruit,frozen fish,bottled water,,,,,,,,
frozen dessert,canned beer,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
butter,rolls/buns,,,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
tropical fruit,onions,,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
brown bread,brown bread,,,,,,,,,
canned beer,UHT-milk,,,,,,,,,
pork,whole milk,flower (seeds),,,,,,,,
UHT-milk,condensed milk,pastry,,,,,,,,
yogurt,whole milk,,,,,,,,,
finished products,pip fruit,curd,pork,curd,whipped/sour cream,whole milk,,,,
yogurt,salty snack,,,,,,,,,
beef,dessert,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
canned beer,soda,,,,,,,,,
ham,chicken,,,,,,,,,
tropical fruit,grapes,sausage,grapes,fruit/vegetable juice,curd,other vegetables,whipped/sour cream,,,
rolls/buns,shopping bags,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
sparkling wine,soda,,,,,,,,,
oil,margarine,,,,,,,,,
baking powder,soda,,,,,,,,,
bottled water,soda,,,,,,,,,
rolls/buns,soda,soda,flower (seeds),,,,,,,
beef,misc. beverages,beef,salty snack,,,,,,,
specialty cheese,beverages,,,,,,,,,
pip fruit,whole milk,butter milk,yogurt,,,,,,,
rolls/buns,soft cheese,fruit/vegetable juice,,,,,,,,
beef,specialty fat,newspapers,,,,,,,,
frankfurter,frozen dessert,other vegetables,cream cheese ,,,,,,,
whipped/sour cream,detergent,,,,,,,,,
chicken,root vegetables,,,,,,,,,
bottled beer,frozen vegetables,sliced cheese,,,,,,,,
other vegetables,margarine,,,,,,,,,
yogurt,whole milk,,,,,,,,,
oil,coffee,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
whole milk,dog food,pastry,,,,,,,,
pickled vegetables,frozen vegetables,,,,,,,,,
meat,rolls/buns,,,,,,,,,
whole milk,pickled vegetables,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
tropical fruit,tropical fruit,,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
margarine,soda,canned fish,,,,,,,,
whole milk,processed cheese,pastry,baking powder,fruit/vegetable juice,coffee,newspapers,,,,
bottled beer,citrus fruit,shopping bags,,,,,,,,
tropical fruit,flour,,,,,,,,,
whole milk,beef,,,,,,,,,
soda,chewing gum,,,,,,,,,
chicken,dog food,,,,,,,,,
other vegetables,frankfurter,newspapers,whole milk,pastry,,,,,,
ham,tidbits,,,,,,,,,
pip fruit,soda,,,,,,,,,
chocolate,pasta,,,,,,,,,
shopping bags,canned beer,,,,,,,,,
root vegetables,salt,,,,,,,,,
tropical fruit,margarine,,,,,,,,,
root vegetables,salt,,,,,,,,,
photo/film,other vegetables,,,,,,,,,
yogurt,long life bakery product,onions,hygiene articles,sugar,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
soda,other vegetables,bottled water,white bread,frozen meals,onions,bottled beer,margarine,,,
bottled water,chocolate,,,,,,,,,
pork,frankfurter,other vegetables,potato products,,,,,,,
butter,margarine,,,,,,,,,
bottled water,cream cheese ,curd,,,,,,,,
sausage,canned beer,,,,,,,,,
frozen vegetables,pastry,,,,,,,,,
liquor (appetizer),whole milk,,,,,,,,,
cat food,newspapers,,,,,,,,,
other vegetables,ice cream,,,,,,,,,
ice cream,yogurt,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
sausage,whipped/sour cream,soda,,,,,,,,
salty snack,citrus fruit,yogurt,berries,,,,,,,
pip fruit,male cosmetics,dishes,dessert,rice,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
chicken,coffee,,,,,,,,,
root vegetables,herbs,,,,,,,,,
berries,shopping bags,,,,,,,,,
canned beer,yogurt,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
frozen potato products,soda,,,,,,,,,
pip fruit,domestic eggs,,,,,,,,,
yogurt,napkins,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
frankfurter,hygiene articles,rolls/buns,,,,,,,,
liquor,vinegar,,,,,,,,,
onions,margarine,,,,,,,,,
frozen vegetables,pastry,,,,,,,,,
hamburger meat,sugar,,,,,,,,,
specialty bar,rolls/buns,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
whole milk,whole milk,,,,,,,,,
citrus fruit,hygiene articles,,,,,,,,,
citrus fruit,citrus fruit,other vegetables,whole milk,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
domestic eggs,chocolate,,,,,,,,,
soda,salty snack,,,,,,,,,
bottled water,grapes,,,,,,,,,
citrus fruit,processed cheese,,,,,,,,,
red/blush wine,cream cheese ,,,,,,,,,
sugar,whipped/sour cream,,,,,,,,,
cling film/bags,other vegetables,,,,,,,,,
frankfurter,chicken,butter,bottled water,,,,,,,
soda,Instant food products,,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
frankfurter,cat food,,,,,,,,,
rolls/buns,waffles,,,,,,,,,
coffee,misc. beverages,,,,,,,,,
citrus fruit,frankfurter,salty snack,newspapers,white wine,,,,,,
canned beer,pip fruit,rolls/buns,brown bread,soft cheese,shopping bags,,,,,
pip fruit,soda,brown bread,,,,,,,,
specialty chocolate,yogurt,rolls/buns,misc. beverages,,,,,,,
ham,grapes,,,,,,,,,
other vegetables,butter,pastry,UHT-milk,,,,,,,
ham,brown bread,,,,,,,,,
whole milk,whole milk,,,,,,,,,
baking powder,bottled water,,,,,,,,,
whole milk,pip fruit,pip fruit,fruit/vegetable juice,,,,,,,
red/blush wine,bottled water,,,,,,,,,
dessert,margarine,,,,,,,,,
beef,pork,salty snack,abrasive cleaner,pasta,shopping bags,,,,,
yogurt,pip fruit,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
soda,zwieback,pastry,,,,,,,,
margarine,coffee,sliced cheese,,,,,,,,
newspapers,long life bakery product,,,,,,,,,
ham,canned fruit,,,,,,,,,
canned beer,canned beer,,,,,,,,,
sausage,sausage,dog food,yogurt,hygiene articles,chocolate,,,,,
